Wall time,Step,Value
1573577339.172341,42,3.6834073066711426
1573577347.010512,167,5.227832317352295
1573577350.839535,229,6.277681350708008
1573577351.144465,234,5.462691783905029
1573577353.580543,273,4.8052659034729
1573577366.103247,474,4.020594596862793
1573577369.972859,536,4.748051166534424
1573577372.645591,579,4.4353766441345215
1573577373.105184,586,3.6154680252075195
1573577376.08908,634,2.4383578300476074
1573577376.922777,647,8.039619445800781
1573577381.063351,714,2.655245304107666
1573577386.931301,808,3.4185585975646973
1573577399.745364,1014,3.408859968185425
1573577419.676462,1333,6.653836727142334
1573577419.932015,1337,2.0564584732055664
1573577422.923209,1385,4.552064895629883
1573577423.321197,1392,4.926795959472656
1573577426.087348,1436,5.2427897453308105
1573577441.941723,1691,2.863948345184326
1573577444.63226,1734,3.3695602416992188
1573577444.803345,1737,3.393040418624878
1573577453.570431,1877,4.863905906677246
1573577456.028513,1917,5.205657482147217
1573577463.429222,2036,3.4153218269348145
1573577473.570484,2199,1.096934199333191
1573577480.3296,2307,1.895243763923645
1573577485.41219,2389,2.8205628395080566
1573577491.3885,2485,4.23747444152832
1573577491.449181,2486,3.1717355251312256
1573577492.219899,2498,5.4547648429870605
1573577503.818832,2685,3.947225332260132
1573577525.79079,3038,2.249750852584839
1573577537.759526,3230,5.341566562652588
1573577538.771939,3246,2.828325033187866
1573577542.474022,3305,3.7217769622802734
1573577561.937231,3618,3.503166913986206
1573577562.057182,3620,3.7324411869049072
1573577565.171806,3670,5.986481189727783
1573577569.614913,3741,2.1177215576171875
1573577574.157951,3814,4.224474906921387
1573577574.583085,3821,4.497435092926025
1573577583.033481,3956,2.3369321823120117
1573577605.458814,4317,3.3845648765563965
1573577610.665622,4400,3.763171911239624
1573577616.414419,4492,3.3030827045440674
1573577617.430949,4509,3.877110719680786
1573577627.880991,4676,4.185285568237305
1573577634.888378,4788,4.64888334274292
1573577646.252342,4971,3.4652016162872314
1573577656.405345,5134,3.6425814628601074
1573577669.524721,5345,2.8246610164642334
1573577670.365384,5359,3.322237253189087
1573577682.195144,5549,4.259584426879883
1573577693.035651,5723,3.069049596786499
1573577698.299982,5808,4.2286376953125
1573577701.790616,5864,2.0027377605438232
1573577704.475617,5907,3.714845657348633
1573577709.687527,5990,4.5997209548950195
1573577722.698836,6200,2.461629867553711
1573577723.881664,6219,3.419816732406616
1573577728.297856,6289,3.300931453704834
1573577745.974791,6574,3.034424304962158
1573577753.752345,6699,3.399494171142578
1573577754.480881,6711,4.662679672241211
1573577763.389547,6854,3.850712299346924
1573577770.345725,6966,4.276908874511719
1573577782.129674,7155,4.089656829833984
1573577796.323185,7382,2.7932169437408447
1573577801.127521,7460,2.082911491394043
1573577801.324331,7463,8.421493530273438
1573577804.325962,7511,3.378361701965332
1573577822.172385,7798,4.314338684082031
1573577824.359706,7833,5.523252010345459
1573577834.196088,7991,2.9179763793945312
1573577838.933826,8066,3.3188910484313965
1573577845.983118,8180,2.7288599014282227
1573577848.540666,8221,5.003855228424072
1573577857.405441,8363,5.9909892082214355
1573577858.250807,8377,3.25197434425354
1573577865.829995,8498,3.434525966644287
1573577866.440274,8508,5.5993804931640625
1573577872.256784,8601,3.4126548767089844
1573577889.493179,8878,5.243148326873779
1573577893.054136,8935,3.480086088180542
1573577896.707009,8993,3.735239028930664
1573577913.314055,9260,3.523571014404297
1573577926.290801,9468,3.0406911373138428
1573577931.629938,9554,2.9390172958374023
1573577932.457594,9567,3.2274153232574463
1573577940.599121,9698,5.741707801818848
1573577949.646108,9843,4.9460906982421875
1573577953.631639,9907,5.120131969451904
1573577976.605763,10276,4.598909378051758
1573577977.041875,10283,5.033599376678467
1573577984.204645,10399,3.9253485202789307
1573577989.241229,10479,3.579339027404785
1573577991.889054,10522,4.000156402587891
1573577997.138551,10607,4.222268104553223
1573578007.961919,10780,4.191411972045898
1573578015.482927,10902,4.238325595855713
1573578015.665164,10905,2.8564040660858154
1573578019.484131,10966,7.332562446594238
1573578019.997257,10974,3.0412425994873047
1573578022.857499,11020,1.7653372287750244
1573578027.919283,11102,1.1557002067565918
1573578047.664309,11419,3.634925365447998
1573578050.961678,11472,3.9611265659332275
1573578054.721119,11532,5.627081871032715
1573578056.804864,11566,4.198390960693359
1573578064.222696,11685,4.380588054656982
1573578068.811462,11759,3.760899066925049
