Wall time,Step,Value
1573684119.38097,42,1958.4720458984375
1573684123.646222,167,1882.945068359375
1573684125.728539,229,1882.0966796875
1573684134.119754,474,1862.4449462890625
1573684136.195702,536,1854.133544921875
1573684137.677885,579,1859.54541015625
1573684137.896225,586,1871.2713623046875
1573684139.998675,647,1842.2586669921875
1573684142.229494,714,1862.493408203125
1573684145.424565,808,1853.8033447265625
1573684152.452458,1014,1852.6649169921875
1573684163.350775,1333,1836.12060546875
1573684165.074132,1385,1847.029541015625
1573684166.869047,1436,1830.909912109375
1573684176.959131,1734,1850.287841796875
1573684177.051977,1737,1862.98779296875
1573684181.804249,1877,1838.994873046875
1573684196.468589,2307,1857.5126953125
1573684199.233435,2389,1858.3087158203125
1573684202.506282,2485,1863.65869140625
1573684202.54107,2486,1854.0888671875
1573684209.322754,2685,1837.2874755859375
1573684227.806105,3230,1832.6663818359375
1573684228.37596,3246,1865.5634765625
1573684230.372642,3305,1866.4345703125
1573684240.978587,3618,1816.803955078125
1573684241.053765,3620,1855.2645263671875
1573684264.851929,4317,1862.0478515625
1573684267.652851,4400,1863.7169189453125
1573684270.794713,4492,1841.8284912109375
1573684271.391293,4509,1844.869873046875
1573684287.088531,4971,1845.7451171875
1573684292.600306,5134,1843.912841796875
1573684299.755355,5345,1863.0380859375
1573684312.612398,5723,1866.144775390625
1573684318.87767,5907,1850.9835205078125
1573684321.715568,5990,1879.119140625
1573684328.849879,6200,1854.639892578125
1573684345.809198,6699,1860.673583984375
1573684346.234081,6711,1834.2943115234375
1573684351.095791,6854,1859.750244140625
1573684354.907662,6966,1871.5782470703125
1573684361.319035,7155,1857.644287109375
1573684371.702902,7460,1872.6116943359375
1573684371.808207,7463,1847.004638671875
1573684383.273022,7798,1834.44482421875
1573684384.420331,7833,1833.6204833984375
1573684392.377006,8066,1834.216552734375
1573684396.28192,8180,1862.9554443359375
1573684397.619137,8221,1874.9256591796875
1573684407.044693,8498,1833.90869140625
1573684407.374264,8508,1841.420654296875
1573684419.983536,8878,1836.75244140625
1573684421.953444,8935,1862.2010498046875
1573684432.959313,9260,1854.877197265625
1573684440.026042,9468,1839.7159423828125
1573684442.968967,9554,1842.76806640625
1573684447.899143,9698,1841.510986328125
1573684471.771046,10399,1831.965087890625
1573684474.490367,10479,1857.184326171875
1573684475.906576,10522,1840.656005859375
1573684488.942495,10905,1856.081298828125
1573684491.040593,10966,1829.6656494140625
1573684492.848642,11020,1819.390380859375
1573684510.292403,11532,1849.2442626953125
1573684511.465225,11566,1834.9661865234375
1573684515.484831,11685,1847.00146484375
1573684525.147335,11969,1837.4132080078125
1573684525.31285,11974,1827.114501953125
1573684531.779117,12164,1857.2149658203125
1573684536.073299,12290,1832.18212890625
1573684556.029281,12877,1840.9588623046875
1573684561.365816,13034,1836.41162109375
1573684562.263558,13061,1852.38916015625
1573684580.535072,13597,1865.2923583984375
1573684581.294952,13620,1822.4361572265625
1573684604.20538,14294,1838.709228515625
1573684616.948103,14668,1844.7294921875
1573684620.710537,14779,1876.7166748046875
1573684623.906092,14873,1846.9869384765625
1573684644.334794,15473,1844.97119140625
1573684654.235449,15764,1841.3756103515625
1573684666.224274,16116,1840.384765625
1573684691.420285,16857,1851.432373046875
1573684698.555205,17066,1850.56884765625
1573684699.571245,17097,1850.4656982421875
1573684707.03657,17317,1853.793701171875
1573684707.810346,17339,1844.3502197265625
1573684714.757192,17543,1852.005859375
1573684715.245162,17557,1852.90380859375
1573684745.606215,18451,1839.998779296875
1573684770.072479,19169,1850.083251953125
1573684782.370367,19531,1858.0223388671875
1573684786.085047,19640,1845.9102783203125
1573684789.16065,19731,1820.086669921875
1573684798.16158,19995,1854.024169921875
1573684800.15936,20053,1849.315673828125
1573684800.486058,20062,1840.43408203125
1573684806.6417,20244,1810.8297119140625
1573684806.928444,20252,1851.22119140625
1573684809.303657,20323,1829.764892578125
1573684813.302696,20440,1833.69970703125
1573684816.680828,20539,1848.364501953125
1573684817.968959,20578,1815.802001953125
1573684824.81846,20779,1847.000244140625
1573684824.916503,20782,1838.036376953125
1573684827.414535,20855,1814.6064453125
1573684835.03343,21080,1862.3731689453125
1573684837.243359,21144,1840.95361328125
1573684840.266477,21232,1838.112060546875
1573684843.187575,21319,1857.747314453125
1573684861.155246,21848,1857.50390625
1573684874.652002,22245,1845.150146484375
1573684877.562242,22330,1843.245849609375
1573684878.510663,22358,1852.576416015625
1573684905.059348,23138,1848.38232421875
1573684905.407365,23148,1860.940673828125
1573684906.887129,23192,1855.26611328125
1573684910.100876,23286,1813.6260986328125
1573684912.7033,23361,1831.9127197265625
1573684914.915587,23427,1851.27294921875
1573684918.789571,23540,1830.658203125
1573684923.185553,23670,1866.1182861328125
1573684924.214388,23701,1839.8189697265625
1573684939.408801,24147,1836.1954345703125
1573684943.989409,24282,1826.8604736328125
1573684944.060819,24284,1822.5162353515625
1573684945.412417,24322,1849.609619140625
1573684955.560282,24621,1842.056396484375
1573684959.145922,24727,1836.4259033203125
1573684966.168298,24934,1835.710693359375
1573684976.97717,25253,1830.1416015625
1573684981.755801,25391,1849.4188232421875
1573684996.04013,25812,1832.318603515625
1573684997.244665,25847,1843.654296875
1573684999.721287,25921,1848.7896728515625
1573685012.720587,26303,1844.8480224609375
1573685029.533795,26797,1812.9371337890625
1573685029.569126,26798,1837.9239501953125
1573685041.745056,27154,1844.9864501953125
1573685053.646344,27505,1825.22802734375
1573685056.990788,27603,1824.7391357421875
1573685058.21933,27638,1853.4329833984375
1573685064.580886,27825,1826.7430419921875
1573685067.666096,27916,1842.82275390625
1573685085.390782,28438,1824.3502197265625
1573685088.965628,28543,1855.56201171875
1573685103.503591,28970,1847.8172607421875
1573685104.406371,28996,1812.28271484375
1573685106.641525,29062,1849.4976806640625
1573685111.360712,29201,1826.0428466796875
1573685113.504362,29263,1873.671875
1573685120.591742,29471,1842.3531494140625
1573685125.289911,29611,1846.6312255859375
1573685132.723362,29829,1855.71435546875
1573685138.687839,30005,1854.5655517578125
1573685139.594221,30031,1844.3551025390625
1573685144.43269,30174,1827.899658203125
1573685149.658406,30327,1849.91552734375
1573685154.518209,30470,1852.201416015625
1573685159.400773,30612,1844.165283203125
1573685162.611622,30706,1834.931640625
1573685163.109026,30720,1868.944091796875
1573685186.428036,31406,1827.756103515625
1573685187.651538,31443,1841.402099609375
1573685202.54624,31880,1847.09033203125
1573685204.417954,31936,1840.4942626953125
1573685213.643858,32207,1831.095947265625
1573685221.37669,32435,1832.664794921875
1573685225.038012,32542,1853.177734375
1573685228.987201,32657,1841.081298828125
1573685232.565925,32762,1835.789306640625
1573685237.003378,32894,1826.1322021484375
1573685237.269798,32902,1845.018310546875
1573685241.779219,33034,1843.8682861328125
1573685246.777719,33181,1853.8800048828125
1573685253.407474,33375,1843.261962890625
1573685254.347551,33403,1834.319580078125
1573685265.743753,33737,1834.6722412109375
1573685266.120503,33749,1831.917236328125
1573685267.32857,33785,1860.4169921875
1573685269.193325,33839,1853.48779296875
1573685270.423844,33876,1865.314453125
1573685271.731788,33913,1825.2486572265625
1573685275.901373,34036,1807.3916015625
1573685286.940667,34362,1833.08642578125
1573685292.508639,34525,1835.623779296875
1573685295.06153,34599,1825.8677978515625
1573685319.983188,35333,1842.9661865234375
1573685320.722898,35354,1825.858154296875
1573685325.115246,35483,1830.809326171875
1573685334.899652,35771,1843.0863037109375
1573685341.12723,35953,1832.61669921875
1573685343.976529,36037,1818.74951171875
1573685364.136371,36629,1839.11767578125
1573685365.10304,36659,1850.255615234375
1573685368.778712,36767,1816.3992919921875
1573685371.600262,36850,1834.7203369140625
1573685383.600653,37202,1848.1834716796875
1573685393.391708,37489,1842.7879638671875
1573685402.679767,37764,1827.6329345703125
1573685406.520146,37876,1836.7967529296875
1573685426.219701,38455,1824.4053955078125
1573685435.196835,38720,1848.7635498046875
1573685439.320294,38840,1828.019287109375
1573685444.110476,38981,1809.0096435546875
1573685454.792226,39296,1818.653076171875
1573685468.619894,39702,1846.561279296875
1573685475.650747,39909,1826.149169921875
1573685479.454301,40020,1841.5711669921875
1573685488.837123,40296,1857.5482177734375
1573685495.793251,40500,1832.0438232421875
1573685501.418547,40667,1830.0150146484375
1573685503.263619,40720,1828.3043212890625
1573685505.749028,40793,1819.5189208984375
1573685514.122277,41040,1807.46484375
1573685521.971108,41271,1837.1627197265625
1573685524.340877,41341,1819.4609375
1573685531.070245,41539,1841.3388671875
1573685551.345576,42134,1807.6788330078125
1573685562.139754,42450,1841.43310546875
1573685562.703056,42468,1849.3935546875
1573685569.818846,42678,1799.58251953125
1573685598.446296,43518,1845.599365234375
1573685602.529448,43639,1824.71240234375
1573685605.012569,43711,1821.282470703125
1573685605.905551,43738,1834.310791015625
1573685606.036876,43742,1839.3104248046875
1573685608.231308,43805,1837.2259521484375
1573685614.615222,43993,1829.2540283203125
1573685617.296809,44073,1839.6763916015625
1573685621.614615,44200,1823.604736328125
1573685621.831165,44207,1818.115478515625
1573685623.344982,44251,1839.2330322265625
1573685625.144382,44304,1807.4276123046875
1573685642.52732,44816,1829.7540283203125
1573685647.626763,44964,1846.04541015625
1573685661.478169,45372,1823.301513671875
1573685666.058061,45507,1825.5177001953125
1573685671.207011,45658,1847.5150146484375
1573685693.709541,46318,1830.829345703125
1573685694.222058,46334,1840.6124267578125
1573685696.951672,46413,1842.927001953125
1573685727.142365,47301,1838.38330078125
1573685738.611425,47638,1807.6873779296875
1573685740.860016,47705,1830.4449462890625
1573685742.225156,47744,1855.13427734375
1573685746.907576,47882,1827.165771484375
1573685749.141322,47947,1850.06103515625
1573685749.903623,47970,1820.440673828125
1573685753.500211,48076,1810.7791748046875
1573685757.056696,48181,1822.415771484375
1573685758.627495,48227,1809.5794677734375
1573685768.673688,48522,1820.74267578125
1573685794.166141,49272,1814.4503173828125
1573685796.848252,49351,1813.4993896484375
1573685801.160682,49477,1830.54150390625
1573685819.14948,50006,1829.407958984375
1573685820.856508,50056,1833.225830078125
1573685824.586077,50165,1839.1412353515625
1573685825.589781,50195,1837.621826171875
1573685846.795398,50819,1840.1934814453125
1573685852.223732,50979,1823.56591796875
1573685857.540348,51134,1820.4326171875
1573685860.714911,51227,1834.085205078125
1573685880.077395,51798,1814.2237548828125
1573685887.01076,52001,1824.797607421875
1573685896.894381,52292,1800.5455322265625
1573685898.940401,52353,1825.232666015625
1573685904.334854,52510,1816.6949462890625
1573685910.151924,52682,1820.1192626953125
1573685917.799635,52906,1842.068603515625
1573685918.877404,52939,1814.698486328125
1573685924.128737,53092,1864.0062255859375
1573685924.601947,53107,1835.8248291015625
1573685936.929127,53468,1821.555908203125
1573685945.008227,53706,1862.085205078125
1573685945.241861,53713,1836.5777587890625
1573685945.369618,53717,1827.833740234375
1573685950.358827,53862,1842.9010009765625
1573685951.787933,53906,1801.8729248046875
1573685959.218378,54123,1797.5606689453125
1573685978.484025,54691,1841.4693603515625
1573685982.460534,54807,1833.4171142578125
1573685986.916119,54937,1809.6265869140625
1573685988.37478,54982,1832.92822265625
1573685999.176349,55299,1851.1318359375
1573686007.477338,55543,1822.7838134765625
1573686007.743647,55551,1790.5428466796875
1573686013.308086,55713,1841.135986328125
1573686015.049484,55766,1824.8768310546875
1573686034.45895,56337,1818.3157958984375
1573686040.264862,56507,1835.5032958984375
1573686040.723691,56521,1825.2001953125
1573686043.678525,56608,1829.5445556640625
1573686049.814056,56787,1839.046630859375
1573686050.874813,56820,1849.3681640625
1573686067.350578,57305,1860.659912109375
1573686073.459086,57484,1792.5926513671875
1573686105.98644,58440,1825.3751220703125
1573686109.931873,58556,1839.9229736328125
1573686115.497702,58719,1797.1748046875
1573686116.373401,58746,1850.335205078125
1573686116.93126,58763,1839.8223876953125
1573686133.967486,59264,1829.3798828125
1573686135.608016,59311,1822.9774169921875
1573686139.671136,59432,1793.3792724609375
1573686146.754288,59640,1803.1590576171875
1573686147.793283,59670,1819.172119140625
1573686165.13583,60179,1805.7650146484375
1573686165.321101,60185,1835.370361328125
1573686166.032063,60207,1822.096923828125
1573686169.10703,60297,1837.5545654296875
1573686175.188752,60475,1833.64794921875
1573686200.02399,61205,1831.9991455078125
1573686202.437597,61276,1821.930419921875
1573686207.968372,61438,1821.3419189453125
1573686216.145186,61680,1855.38671875
1573686231.757346,62139,1849.943115234375
1573686234.512308,62219,1833.46044921875
1573686244.61835,62516,1820.355712890625
1573686245.660952,62547,1830.165283203125
1573686256.829102,62874,1821.65283203125
1573686261.857404,63024,1840.8834228515625
1573686268.525874,63220,1806.7130126953125
1573686278.512467,63513,1819.9110107421875
1573686283.870543,63671,1803.5289306640625
1573686290.487713,63865,1820.921142578125
1573686302.762745,64225,1823.5196533203125
1573686312.832601,64521,1817.990966796875
1573686318.439723,64687,1828.247802734375
1573686325.353877,64889,1819.1810302734375
1573686337.444344,65245,1806.7613525390625
1573686339.092148,65292,1827.375
1573686349.554602,65601,1832.1810302734375
1573686350.986264,65643,1833.12939453125
1573686364.83016,66049,1845.260498046875
1573686373.249434,66298,1838.787109375
1573686389.867176,66787,1809.09326171875
1573686396.277153,66976,1825.615234375
1573686397.843904,67021,1834.552978515625
1573686412.08526,67440,1802.21337890625
